"","trial","start","end","x","y","mad.x","mad.y","peak.vx","peak.vy","dur","event"
"1",0,108,204,1400.66666666667,544.333333333333,4.4478,8.8956,103.5,18.5,96,"fixation"
"4",1,1057,2334,853.166666666667,559.833333333333,8.15430000000008,34.0998,-10.1666666666666,-10.6666666666667,1277,"fixation"
"6",2,868,1067,802,757.666666666667,10.3782000000002,11.3665999999999,13.3333333333334,-13.6666666666667,199,"fixation"
"7",2,2727,2838,1505.16666666667,392.333333333333,4.20070000000006,1.97680000000001,12.6666666666667,-5.16666666666669,111,"fixation"
"9",3,1684,2808,1380.33333333333,464.666666666667,11.8608,3.95360000000003,-11,-6.5,1124,"fixation"
"10",3,5240,6043,858.5,873.5,17.7911999999999,28.4164999999999,12.6666666666667,15.3333333333333,803,"fixation"
"11",3,7314,7647,1081.66666666667,197.333333333333,10.8723999999999,2.47099999999999,-11.5,-10.3333333333333,333,"fixation"
"13",4,1303,1505,270.333333333333,499,2.47100000000003,12.8491999999999,6.66666666666666,-11.5,202,"fixation"
"14",4,2439,2573,1511.16666666667,430.833333333333,5.1891,2.2239,10.3333333333333,7,134,"fixation"
"15",4,3433,3676,806.666666666667,951.333333333333,10.8724000000001,1.72970000000003,8.66666666666669,-10.9999999999999,243,"fixation"
"16",4,5169,5403,314.666666666667,458.166666666667,3.21230000000003,4.94200000000001,-6.33333333333334,-12.8333333333333,234,"fixation"
"18",5,153,319,977.666666666667,152,0.988400000000112,10.8724,9.16666666666663,-8.83333333333333,166,"fixation"
"19",5,453,728,943.333333333333,160,17.7912,4.4478,-11.8333333333333,4.83333333333334,275,"fixation"
"20",5,854,1187,1012.66666666667,131.333333333333,3.70650000000017,12.6021,11.5,6.83333333333333,333,"fixation"
"21",5,2099,2258,193.666666666667,531.666666666667,0.494200000000014,3.45940000000006,9.99999999999999,-3.33333333333331,159,"fixation"
"22",5,2993,3392,977.166666666667,464,6.67170000000008,1.48259999999992,11.1666666666666,-3.66666666666666,399,"fixation"
"23",5,4081,4556,1378.5,433.5,4.69490000000011,6.17750000000003,7.33333333333326,-12.8333333333333,475,"fixation"
"24",5,5586,5716,225.166666666667,461.833333333333,0.247100000000007,5.68329999999997,9,-10.5,130,"fixation"
"26",6,541,664,865.833333333333,422.333333333333,6.6717,4.94199999999997,7.16666666666669,-11,123,"fixation"
"27",6,935,1269,844.666666666667,508,3.45940000000006,14.3317999999999,5.83333333333337,-10.8333333333334,334,"fixation"
"29",7,838,1038,1391.33333333333,515.333333333333,9.88400000000011,2.9652,10.6666666666667,-9.33333333333331,200,"fixation"
"31",8,750,867,1082.83333333333,250.333333333333,1.72970000000011,2.47100000000001,-6.83333333333337,-5.16666666666669,117,"fixation"
"33",9,328,465,919.833333333333,237.666666666667,2.71809999999997,10.8724,5.16666666666663,-13.6666666666667,137,"fixation"
"34",9,929,1104,827,387.666666666667,4.4478,13.3434,-5.49999999999994,-13,175,"fixation"
"35",9,1324,1698,865.666666666667,472,7.66010000000011,4.20069999999993,6.99999999999994,-10.6666666666667,374,"fixation"
"36",9,2490,2624,357,504.833333333333,4.94200000000001,7.66009999999999,2,14,134,"fixation"
"38",10,484,660,845.666666666667,425.666666666667,0.988399999999944,15.3202000000001,7.83333333333337,-14.5,176,"fixation"
"40",11,885,1066,846.666666666667,852.333333333333,2.47099999999977,2.47099999999994,7.16666666666669,-14,181,"fixation"
"41",11,1198,1597,893,895,15.8144000000001,12.355,-10.8333333333334,-12.8333333333333,399,"fixation"
"42",11,1730,1864,921.666666666667,849.833333333333,1.48260000000008,2.71809999999997,2.16666666666669,6.83333333333331,134,"fixation"
"44",12,333,1095,945.333333333333,202.666666666667,4.4478,23.7216,-8.16666666666669,13.1666666666667,762,"fixation"
"45",12,2257,2365,897.666666666667,334.333333333333,1.97679999999997,3.45939999999997,-3.33333333333331,-8.33333333333331,108,"fixation"
"46",12,3359,3501,818.333333333333,1229.33333333333,0.988400000000028,0.988400000000112,-1.5,6,142,"fixation"
"47",12,5374,5609,440.333333333333,614,3.95360000000003,1.97680000000006,-5.66666666666666,-10,235,"fixation"
"48",12,6373,6474,946,1101.5,3.95359999999994,0.247099999999944,-8.99999999999994,5.66666666666663,101,"fixation"
"49",12,6597,6698,947.833333333333,1055.33333333333,5.68329999999989,3.95360000000011,7.66666666666663,8.5,101,"fixation"
"50",12,7450,7587,837.5,1155.66666666667,3.21230000000003,5.43619999999994,-7.5,-9.16666666666663,137,"fixation"
"51",12,7732,8155,793.666666666667,1231.33333333333,18.7796000000001,4.94199999999989,-9.66666666666663,-11.3333333333334,423,"fixation"
"52",12,8258,8657,792.666666666667,1201.66666666667,14.826,8.8956,9.83333333333337,13.3333333333334,399,"fixation"
"53",12,9459,9656,1198,373.333333333333,5.43620000000011,7.90720000000006,-11.8333333333334,9.49999999999997,197,"fixation"
"55",13,1624,1952,794.333333333333,804,9.38980000000006,7.413,-6.33333333333337,-5.83333333333331,328,"fixation"
"56",13,2185,2520,863.666666666667,840.333333333333,11.8608,3.95359999999994,-7.83333333333337,10.1666666666666,335,"fixation"
