"","trial","start","end","x","y","mad.x","mad.y","peak.vx","peak.vy","dur","event"
"1",0,124,244,1560,563.666666666667,28.1694,17.2969999999999,20.5,10,120,"fixation"
"3",0,1042,1101,553.666666666667,407.666666666667,6.91879999999994,0.494199999999972,98,13,59,"fixation"
"4",0,1160,1244,663.666666666667,404.333333333333,27.1810000000001,31.6288,25,10.6666666666667,84,"fixation"
"5",0,1275,1344,682.666666666667,373.666666666667,45.9606,14.3317999999999,23,7.83333333333331,69,"fixation"
"6",0,1494,1624,792,356.666666666667,5.43619999999977,31.6288000000001,-13.1666666666666,-6.5,130,"fixation"
"7",0,1683,2065,833.666666666667,240,27.1809999999999,56.3388,28.1666666666666,56.5,382,"fixation"
"8",0,2144,2844,649.166666666667,348.5,25.2042,37.8063,-22.5,-11.6666666666667,700,"fixation"
"10",0,2916,2994,585.333333333333,427,4.94199999999989,14.8259999999999,-24.1666666666667,-11.6666666666667,78,"fixation"
"11",0,3744,3844,442.666666666667,579.5,1.97679999999997,6.6717,-10.5,13,100,"fixation"
"12",0,4444,4543,863,332.666666666667,10.3782,1.4826,14.0000000000001,4.66666666666669,99,"fixation"
"13",0,4894,5594,838,416,33.3585,16.8027999999999,-15.1666666666666,-10.8333333333333,700,"fixation"
"14",0,6544,6644,640,545.5,1.4826,1.72970000000003,11.1666666666667,4.83333333333337,100,"fixation"
"15",0,8094,8294,821.5,237,11.1195000000001,6.17750000000003,18.3333333333333,6,200,"fixation"
"16",0,9203,9377,354.333333333333,380.666666666667,0.988400000000028,2.47099999999994,-10.8333333333333,-10.6666666666667,174,"fixation"
"18",1,114,878,856,76.6666666666667,5.43620000000011,13.3434,16.8333333333333,-15.8333333333333,764,"fixation"
"19",1,1171,1288,772.5,213.333333333333,0.247100000000028,6.42459999999999,-18,-9.66666666666666,117,"fixation"
"20",1,2804,2921,937.666666666667,75.8333333333333,4.94200000000006,6.6717,-10.0000000000001,-12.1666666666667,117,"fixation"
"21",1,3387,3504,412.666666666667,390.333333333333,0.988400000000028,5.43620000000003,6.33333333333334,-9.5,117,"fixation"
"22",1,5471,5587,874.666666666667,582.833333333333,6.42460000000006,3.7065,9.66666666666669,-8.5,116,"fixation"
"23",1,5704,5821,835.5,634.666666666667,1.72969999999994,3.45940000000006,-10.6666666666667,-12.5,117,"fixation"
"25",2,2848,3182,898.333333333333,267.333333333333,11.3666000000001,11.8608,-17.1666666666667,8.66666666666669,334,"fixation"
"26",2,3582,4182,740.666666666667,368.333333333333,9.38980000000006,19.7679999999999,16.1666666666667,12.8333333333333,600,"fixation"
"27",2,4649,4781,711.666666666667,242.5,2.47099999999994,5.1891,4.16666666666663,13.6666666666667,132,"fixation"
"28",2,6665,6933,450.666666666667,456.5,11.3666,7.16590000000001,-17.8333333333333,8.66666666666669,268,"fixation"
"29",2,7799,8257,877.666666666667,413.666666666667,5.9304,19.2738,13.6666666666667,-12.6666666666667,458,"fixation"
