"","trial","start","end","x","y","mad.x","mad.y","peak.vx","peak.vy","dur","event"
"0",0,0,250,1302.66666666667,479.666666666667,3.95359999999978,0.988399999999944,15.3333333333333,-7.5,250,"fixation"
"1",0,1533,1667,261.333333333333,887.333333333333,10.8724,5.43620000000003,16.8333333333333,9.33333333333337,134,"fixation"
"2",0,3200,3534,613.666666666667,470.666666666667,7.90720000000006,2.9652,-7.33333333333331,-10.6666666666667,334,"fixation"
"3",0,4132,4399,424.666666666667,815.833333333333,7.90719999999997,2.9652,13.1666666666667,9.5,267,"fixation"
"4",0,5800,5933,387.333333333333,862.166666666667,12.355,4.20070000000006,19,8,133,"fixation"
"5",0,6866,6999,700.5,645.5,9.14270000000003,4.20069999999997,-15.1666666666667,8.83333333333331,133,"fixation"
"6",0,9268,9766,1455,614,5.1891,16.0615000000001,-18,-10.1666666666667,498,"fixation"
"7",0,10499,11365,872,472.666666666667,12.8491999999999,16.3086,17.0000000000001,11,866,"fixation"
"8",0,12182,12449,701.166666666667,756.166666666667,0.7413,3.45940000000006,-6,8.66666666666663,267,"fixation"
"9",0,13449,13715,758.833333333333,662.166666666667,14.0847,13.3434,14.8333333333333,9.33333333333337,266,"fixation"
"11",1,133,333,946,376,1.97679999999989,4.4478,-8.50000000000006,-4.83333333333331,200,"fixation"
"13",2,533,666,659.5,198,14.5789,2.47100000000001,-9.5,-4.5,133,"fixation"
"14",2,1999,2132,426,488.666666666667,6.42459999999997,0.494199999999972,13.3333333333333,5.83333333333334,133,"fixation"
"15",2,2333,2533,422.666666666667,424.333333333333,0,3.45939999999997,10.3333333333333,8.83333333333331,200,"fixation"
"17",3,267,467,816.666666666667,347.333333333333,7.90719999999989,0,13.6666666666667,-8,200,"fixation"
"18",3,667,800,865.666666666667,392.5,9.88400000000003,0.741300000000042,-18.3333333333334,5.16666666666669,133,"fixation"
"19",3,1150,1350,1018.33333333333,413.666666666667,0,7.413,-5.66666666666663,-7,200,"fixation"
"20",3,2433,2834,815.5,320.333333333333,20.5093,7.16589999999997,16.3333333333334,9,401,"fixation"
"22",4,133,466,829.333333333333,417.666666666667,4.4478,11.8608,-10,10.5,333,"fixation"
"24",5,134,534,707.666666666667,379.166666666667,20.0151,4.44779999999996,20.5,6.83333333333334,400,"fixation"
"26",6,668,801,466.5,419.333333333333,2.2239,2.9652,-12.1666666666667,3.33333333333334,133,"fixation"
"28",7,200,400,694.666666666667,329.666666666667,6.91879999999994,0.988399999999944,-15.3333333333333,6.83333333333334,200,"fixation"
"29",7,949,1082,547.833333333333,447.666666666667,10.1311,4.94200000000006,-17.8333333333333,-5.5,133,"fixation"
"30",7,1550,1682,979.833333333333,386.333333333333,1.23549999999997,2.96519999999996,-16.6666666666667,2.50000000000003,132,"fixation"
"31",7,2350,2483,963.333333333333,575.833333333333,8.40140000000011,11.1195,11,-7.66666666666663,133,"fixation"
"32",7,4083,4216,907.5,467,19.0267000000001,3.45940000000001,-19.1666666666667,-3,133,"fixation"
"33",7,4367,4702,960,480,8.40140000000011,9.14270000000003,10.1666666666667,-9.83333333333331,335,"fixation"
"35",8,283,950,739.5,299.166666666667,24.9571,11.8608,-22.1666666666667,11.8333333333333,667,"fixation"
"36",8,1683,2083,836.5,397.833333333333,18.5325000000001,14.0847,-14.6666666666667,10.5,400,"fixation"
"37",8,2950,3417,655.333333333333,475.666666666667,4.4478,20.7564,10.6666666666667,-9.66666666666666,467,"fixation"
"39",9,215,348,814.833333333333,397,2.2239,2.47100000000003,-13,-0.833333333333371,133,"fixation"
"40",9,749,1082,621.333333333333,335.666666666667,6.91879999999994,3.95360000000003,-18.3333333333333,5.66666666666666,333,"fixation"
"41",9,1815,1948,1015,516.333333333333,2.47100000000003,0.988400000000028,10,8.33333333333331,133,"fixation"
"42",9,2282,2432,700.166666666667,399.5,7.66009999999994,1.72969999999999,7,4.33333333333334,150,"fixation"
"44",10,148,298,703.833333333333,264,8.64849999999997,6.91879999999999,11.3333333333333,4.16666666666666,150,"fixation"
"45",10,515,881,699.666666666667,330.333333333333,16.3086,9.38979999999997,12.5,11.6666666666667,366,"fixation"
"48",12,83,420,702.666666666667,320.666666666667,25.6984000000001,31.1346,24.8333333333334,11.5,337,"fixation"
"50",12,670,836,611.166666666667,326.666666666667,21.7448,18.5325,6,-26.1666666666667,166,"fixation"
"51",12,1167,1243,716.5,447.166666666667,1.23549999999997,7.66010000000003,-3.66666666666669,-8.66666666666669,76,"fixation"
"52",12,1333,1667,698,502.5,27.1810000000001,9.38980000000006,16.3333333333334,-6,334,"fixation"
"53",12,2083,2167,865.333333333333,281.666666666667,34.0998,15.8144,9.33333333333331,5,84,"fixation"
"54",12,2370,2536,829,444.666666666667,10.1311000000001,10.1311,11.8333333333333,-9.83333333333334,166,"fixation"
"55",12,2620,2750,758.666666666667,459,16.3086,3.45939999999997,16,-5.5,130,"fixation"
"56",12,3000,3657,609.333333333333,488.166666666667,19.2738000000001,5.93040000000004,20.5,-7.66666666666669,657,"fixation"
