trial,x,y,time
0,1587,419,0
0,1536,403,48
0,1568,367,98
0,1545,354,150
0,1438,358,200
0,1292,322,249
0,1166,294,299
0,1122,285,350
0,984,327,400
0,852,354,449
0,745,377,500
0,599,357,549
0,498,358,599
0,332,330,650
0,232,327,700
0,160,328,752
0,88,317,800
0,-7,321,849
0,0,340,900
0,-8,349,950
0,35,361,1000
0,60,363,1048
0,81,351,1099
0,110,337,1149
0,179,337,1199
0,233,368,1249
0,280,370,1300
0,314,394,1350
0,315,396,1400
0,366,410,1450
0,404,374,1500
0,414,384,1549
0,461,347,1599
0,478,345,1650
0,498,316,1699
0,541,322,1749
0,564,292,1800
0,576,296,1849
0,598,293,1900
0,692,267,1949
0,688,242,1999
0,768,202,2050
0,710,199,2100
0,739,175,2149
0,765,137,2200
0,771,127,2250
0,771,146,2300
0,694,214,2350
0,560,263,2399
0,436,291,2450
0,315,289,2500
0,275,310,2548
0,197,285,2599
0,157,296,2648
0,114,270,2699
0,83,267,2749
0,101,297,2799
0,167,310,2849
0,231,310,2899
0,314,307,2948
0,378,295,2998
0,471,275,3048
0,554,255,3099
0,622,242,3149
0,668,234,3199
0,709,219,3248
0,673,235,3299
0,644,228,3349
0,607,256,3398
0,577,277,3449
0,584,269,3499
0,627,240,3549
0,615,229,3599
0,615,220,3648
0,649,199,3699
0,684,174,3749
0,692,160,3799
0,690,147,3849
0,702,145,3899
0,698,142,3949
0,732,149,3999
0,752,159,4049
0,772,157,4099
0,788,165,4149
0,812,159,4199
0,831,162,4249
0,845,163,4299
0,848,171,4349
0,690,235,4398
0,582,286,4448
0,468,335,4499
0,406,369,4549
0,348,386,4599
0,285,390,4649
0,252,393,4698
0,231,398,4749
0,219,398,4799
0,184,379,4849
0,214,384,4899
0,233,380,4949
0,199,380,4999
0,229,384,5049
0,211,374,5099
0,186,379,5149
0,159,359,5198
0,165,353,5248
0,200,348,5299
0,236,348,5348
0,252,355,5398
0,272,371,5449
0,273,401,5499
0,278,395,5548
0,292,397,5598
0,349,404,5648
0,346,401,5698
0,364,405,5749
0,371,392,5799
0,383,390,5848
0,392,398,5899
0,398,394,5949
0,402,418,5998
0,437,363,6049
0,513,337,6098
0,537,285,6149
0,558,276,6199
0,542,273,6248
0,535,279,6299
0,555,287,6349
0,526,304,6399
0,519,325,6448
0,524,326,6499
0,571,315,6549
0,568,313,6599
0,611,305,6649
0,596,314,6699
0,578,340,6748
0,550,329,6798
0,522,354,6849
0,500,371,6899
0,517,380,6948
0,492,377,6999
0,482,380,7048
0,476,392,7098
0,469,401,7148
0,485,374,7199
0,491,357,7248
0,483,331,7298
0,523,322,7349
0,581,306,7399
0,596,293,7449
0,618,283,7499
0,642,274,7548
0,623,249,7598
0,675,244,7648
0,697,230,7699
0,714,222,7749
0,739,216,7799
0,746,203,7849
0,801,174,7899
0,813,165,7949
0,853,208,7999
0,891,239,8048
0,924,242,8097
0,777,287,8148
0,641,331,8199
0,473,372,8248
0,344,409,8299
0,265,406,8348
0,173,434,8399
0,125,454,8448
0,79,469,8499
0,157,446,8549
0,267,410,8599
0,411,360,8647
0,471,395,8699
0,581,377,8738
0,672,370,8781
0,808,377,8832
0,985,389,8882
0,1080,384,8931
0,1193,378,8982
0,1229,487,9031
0,1231,588,9081
0,1110,665,9132
0,1042,687,9182
0,947,688,9232
0,878,714,9282
0,775,821,9332
0,733,865,9382
0,698,938,9431
0,639,981,9482
0,604,968,9531
0,581,957,9582
0,555,951,9631
0,542,928,9681
0,563,926,9732
0,552,914,9782
0,576,888,9832
0,556,870,9882
0,581,841,9932
0,567,826,9981
0,585,816,10032
0,555,822,10081
0,541,817,10131
0,509,845,10182
0,503,836,10231
0,488,815,10282
0,492,815,10331
0,512,784,10382
0,577,741,10431
0,612,709,10482
0,686,677,10531
0,719,672,10582
0,703,690,10632
0,693,695,10682
0,720,690,10732
0,738,678,10782
0,740,696,10832
0,733,713,10881
0,741,725,10932
0,726,731,10981
0,781,709,11031
0,782,705,11082
0,893,680,11133
0,1030,621,11173
0,1100,612,11215
0,1176,621,11258
0,1225,622,11301
0,1298,566,11341
0,1374,588,11386
0,1455,562,11432
0,1509,557,11482
0,1529,524,11531
0,1579,525,11582
0,1532,517,11632
0,1524,490,11682
0,1515,480,11732
0,1500,465,11777
0,1483,457,11821
0,1480,460,11868
0,1436,469,11915
0,1472,480,11962
0,1461,493,12016
0,1408,495,12083
0,1242,478,12132
0,1094,396,12182
0,952,342,12232
0,808,321,12281
0,731,274,12332
0,632,176,12381
0,615,118,12432
0,676,107,12482
0,668,132,12531
0,643,205,12582
0,603,286,12632
0,531,358,12682
0,497,414,12731
0,501,458,12781
0,526,493,12832
0,563,422,12881
0,619,376,12931
0,650,346,12982
0,707,343,13032
0,788,305,13082
0,799,243,13132
0,823,170,13181
0,791,133,13231
0,794,64,13282
0,787,14,13332
0,776,-37,13382
0,735,-23,13431
0,697,-16,13482
0,687,-39,13532
0,740,-28,13582
0,803,-7,13632
0,857,-14,13682
0,882,-11,13732
0,898,-14,13782
