trial,x,y,time
0,1592,466,0
0,1532,419,68
0,1505,398,151
0,1454,402,217
0,1268,374,284
0,1072,378,351
0,873,381,417
0,742,407,484
0,657,402,552
0,524,425,618
0,349,451,684
0,183,484,750
0,60,487,800
0,0,522,867
0,-62,553,934
0,-122,537,1003
0,142,517,1068
0,339,492,1134
0,446,506,1201
0,489,533,1268
0,508,563,1317
0,520,585,1368
0,451,613,1435
0,390,610,1501
0,341,635,1567
0,263,630,1616
0,203,629,1667
0,165,619,1717
0,141,608,1767
0,112,598,1817
0,88,577,1867
0,97,569,1917
0,57,544,1966
0,105,546,2017
0,70,520,2067
0,86,494,2135
0,58,479,2201
0,46,487,2268
0,65,482,2335
0,101,493,2401
0,102,480,2450
0,66,465,2500
0,92,451,2550
0,107,466,2600
0,94,472,2669
0,111,462,2735
0,97,478,2801
0,109,484,2851
0,116,498,2919
0,146,508,2984
0,149,505,3034
0,167,512,3084
0,167,508,3134
0,197,518,3200
0,463,522,3250
0,687,508,3300
0,822,485,3350
0,898,495,3400
0,933,511,3450
0,895,555,3500
0,847,576,3550
0,792,597,3600
0,715,625,3650
0,628,651,3700
0,541,690,3750
0,482,704,3801
0,436,713,3850
0,390,720,3900
0,356,717,3955
0,304,714,4016
0,305,644,4066
0,298,594,4117
0,297,555,4185
0,311,518,4251
0,333,508,4318
0,328,521,4384
0,313,499,4451
0,291,498,4517
0,313,469,4567
0,290,474,4617
0,332,452,4667
0,355,423,4735
0,379,432,4800
0,425,441,4850
0,461,444,4900
0,469,472,4950
0,480,466,5000
0,463,473,5050
0,475,493,5100
0,467,503,5150
0,459,494,5200
0,465,496,5250
0,497,511,5300
0,512,499,5350
0,530,493,5400
0,555,488,5450
0,557,486,5500
0,570,508,5551
0,516,487,5617
0,506,476,5667
0,493,485,5717
0,469,475,5767
0,466,477,5817
0,449,475,5867
0,462,464,5917
0,478,459,5966
0,503,463,6017
0,537,464,6067
0,535,462,6116
0,554,453,6167
0,510,462,6218
0,489,458,6284
0,503,439,6350
0,472,443,6400
0,472,451,6450
0,508,454,6501
0,550,459,6550
0,580,447,6600
0,625,446,6650
0,626,460,6700
0,636,431,6751
0,629,463,6800
0,639,473,6850
0,618,483,6900
0,652,484,6950
0,643,461,7000
0,671,431,7050
0,706,434,7101
0,765,456,7150
0,791,494,7200
0,804,494,7250
0,831,483,7300
0,844,471,7350
0,850,456,7400
0,863,437,7451
0,852,444,7501
0,848,438,7550
0,859,440,7601
0,869,449,7650
0,895,443,7700
0,893,440,7750
0,895,416,7818
0,892,408,7885
0,903,403,7952
0,891,371,8019
0,885,331,8084
0,887,288,8133
0,862,261,8183
0,837,242,8234
0,810,236,8283
0,797,232,8334
0,815,257,8383
0,805,324,8433
0,794,350,8483
0,782,368,8533
0,786,371,8583
0,799,379,8633
