trial,x,y,time
0,1305,601,0
0,1370,613,48
0,1599,537,55
0,1436,623,95
0,1635,542,124
0,1476,594,145
0,1626,520,183
0,1524,585,196
0,1648,528,241
0,1508,578,244
0,1519,548,294
0,1715,525,300
0,1340,472,344
0,1768,494,358
0,1177,381,394
0,1701,488,416
0,1024,338,444
0,1651,486,469
0,936,309,494
0,1616,444,527
0,808,325,544
0,1537,455,584
0,720,322,594
0,1430,468,635
0,688,292,644
0,1434,458,693
0,681,257,694
0,660,221,744
0,1434,486,751
0,592,250,794
0,1227,482,810
0,513,274,844
0,1092,457,863
0,467,304,894
0,1065,476,918
0,390,325,944
0,975,482,985
0,377,362,994
0,897,457,1042
0,373,391,1044
0,391,375,1094
0,965,458,1101
0,417,380,1144
0,1027,472,1160
0,492,361,1193
0,972,450,1216
0,527,338,1244
0,842,442,1275
0,586,341,1294
0,775,452,1333
0,687,299,1344
0,823,437,1391
0,766,278,1394
0,822,236,1444
0,697,412,1450
0,821,210,1494
0,780,448,1508
0,818,208,1544
0,778,453,1566
0,777,228,1594
0,832,453,1624
0,772,200,1644
0,928,436,1683
0,801,166,1694
0,867,407,1741
0,778,147,1744
0,782,116,1794
0,921,418,1800
0,803,92,1844
0,916,401,1858
0,816,118,1894
0,890,394,1915
0,816,108,1944
0,827,396,1966
0,802,96,1994
0,825,394,2016
0,774,116,2043
0,831,412,2065
0,749,139,2094
0,729,430,2116
0,728,144,2144
0,710,444,2166
0,706,139,2194
0,654,455,2216
0,685,158,2244
0,645,459,2266
0,669,175,2294
0,635,464,2316
0,648,223,2344
0,623,462,2366
0,675,240,2394
0,609,467,2416
0,659,266,2444
0,580,479,2466
0,658,274,2494
0,609,464,2515
0,684,261,2544
0,574,444,2566
0,664,293,2594
0,564,420,2616
0,676,276,2644
0,651,423,2666
0,658,274,2694
0,717,428,2716
0,620,294,2744
0,777,429,2766
0,505,330,2794
0,853,456,2816
0,485,333,2844
0,916,489,2867
0,400,377,2894
0,972,504,2916
0,384,370,2944
0,1077,504,2966
0,285,407,2994
0,1113,537,3016
0,305,454,3044
0,1163,570,3066
0,242,490,3094
0,1254,588,3116
0,168,513,3144
0,123,549,3194
0,103,583,3244
0,82,596,3294
0,72,604,3344
0,174,616,3394
0,143,638,3444
0,234,634,3494
0,300,638,3544
0,364,648,3593
0,422,633,3644
0,456,587,3694
0,442,583,3744
0,426,582,3794
0,464,560,3844
0,497,545,3894
0,528,511,3944
0,598,507,3994
0,626,514,4044
0,633,476,4094
0,701,444,4144
0,735,437,4193
0,782,405,4244
0,794,395,4294
0,832,355,4344
0,897,344,4394
0,856,324,4444
0,857,333,4494
0,855,338,4543
0,814,356,4594
0,787,348,4644
0,801,356,4694
0,814,388,4744
0,838,415,4794
0,809,416,4844
0,765,422,4894
0,779,447,4944
0,805,444,4994
0,789,423,5043
0,846,412,5094
0,807,415,5144
0,828,419,5194
0,854,411,5244
0,857,377,5294
0,849,401,5344
0,855,400,5393
0,855,407,5444
0,867,436,5494
0,906,426,5543
0,894,400,5594
0,862,384,5644
0,823,391,5694
0,786,405,5744
0,747,427,5794
0,732,445,5844
0,695,475,5894
0,672,503,5944
0,638,505,5994
0,585,538,6044
0,607,581,6094
0,606,552,6144
0,598,526,6194
0,579,491,6244
0,565,515,6294
0,535,532,6344
0,560,570,6394
0,593,562,6444
0,627,551,6494
