trial,x,y,time
0,195,391,0
0,379,406,20
0,519,466,43
0,765,459,79
0,892,461,101
0,971,490,122
0,1014,487,147
0,1106,524,167
0,1081,538,187
0,1098,599,206
0,1134,651,228
0,1218,639,249
0,1134,572,270
0,1088,487,290
0,1113,455,309
0,1099,401,329
0,892,295,348
0,835,249,367
0,794,237,385
0,780,301,410
0,721,333,430
0,673,542,449
0,724,677,472
0,736,762,491
0,668,836,511
0,519,850,531
0,475,842,549
0,431,857,569
0,341,781,587
0,286,771,605
0,288,782,623
0,434,795,645
0,570,808,664
0,653,807,683
0,789,765,702
0,719,714,723
0,712,690,741
0,700,633,761
0,595,725,782
0,611,672,804
0,636,668,824
0,580,609,842
0,551,584,860
0,547,522,879
0,524,505,898
0,549,487,922
0,651,502,944
0,750,480,963
0,873,438,982
0,987,367,1002
0,1034,343,1020
0,969,353,1040
0,989,387,1057
0,888,373,1076
0,716,352,1093
0,563,265,1111
0,434,193,1130
0,409,96,1149
0,392,51,1167
0,403,160,1187
0,458,309,1205
0,609,439,1224
0,630,556,1243
0,702,651,1262
0,762,728,1279
0,543,678,1298
0,442,730,1315
0,292,665,1334
0,278,661,1352
0,116,439,1371
0,48,343,1390
0,49,276,1409
0,153,309,1426
0,198,148,1445
0,251,55,1463
0,277,-67,1481
0,108,-212,1500
0,66,-296,1518
0,85,-362,1535
0,38,-453,1556
0,143,-487,1575
0,147,-515,1594
0,114,-531,1611
0,129,-449,1629
0,55,-410,1646
0,28,-273,1665
0,-65,-214,1683
0,16,-183,1701
0,39,-209,1718
0,175,-118,1739
0,300,-34,1757
0,294,138,1775
0,267,176,1794
0,279,188,1813
0,355,251,1831
0,316,346,1851
0,307,533,1868
0,358,637,1887
0,402,700,1906
0,410,719,1926
0,464,751,1945
0,458,779,1963
0,452,838,1980
0,412,878,1999
0,423,897,2017
0,386,894,2035
0,358,891,2052
0,253,822,2070
0,168,863,2088
0,120,831,2106
0,83,802,2126
0,98,731,2146
0,121,638,2163
0,204,692,2182
0,442,694,2200
0,687,725,2220
0,900,778,2238
0,859,904,2257
0,875,984,2275
0,900,946,2293
0,919,937,2312
0,766,706,2331
0,673,618,2349
0,637,503,2368
0,609,405,2385
0,533,373,2403
0,569,391,2421
0,645,477,2440
0,708,516,2458
0,729,485,2478
0,662,435,2496
0,579,348,2515
0,735,445,2533
0,872,465,2551
0,972,450,2570
0,955,412,2590
0,853,364,2608
0,922,533,2626
0,959,692,2644
0,958,817,2663
0,955,919,2684
0,939,972,2702
0,872,947,2719
0,858,937,2738
0,821,881,2756
0,889,840,2775
0,959,879,2793
0,950,793,2812
0,955,737,2829
0,998,729,2848
0,911,728,2869
0,979,766,2889
0,1020,768,2906
0,1074,776,2924
0,1115,805,2942
0,1193,799,2960
0,1257,793,2979
0,1253,805,2998
0,1245,805,3015
0,1298,793,3033
0,1221,687,3050
0,1182,612,3072
0,1123,494,3091
0,1189,445,3111
0,1246,407,3131
0,1190,542,3151
0,1185,670,3171
0,1074,691,3192
0,1097,714,3211
0,1062,820,3231
0,1034,910,3250
0,1067,997,3269
0,1121,1090,3288
0,1214,1092,3306
0,1298,1085,3324
0,1360,1025,3345
0,1464,1017,3364
0,1509,980,3386
0,1551,961,3405
0,1567,963,3425
0,1577,969,3444
0,1498,916,3466
0,1389,841,3485
0,1267,830,3505
0,1145,795,3524
0,950,798,3544
0,755,779,3561
0,673,799,3581
0,689,842,3599
0,658,845,3618
0,632,840,3635
0,607,825,3655
0,611,815,3674
0,557,829,3694
0,565,806,3711
0,503,818,3730
0,455,828,3747
0,489,857,3766
0,512,845,3784
0,628,833,3803
0,746,814,3821
0,729,783,3841
0,726,738,3858
0,778,755,3879
0,821,771,3897
0,820,802,3916
0,811,884,3934
0,747,997,3953
0,686,1072,3969
0,596,1043,3990
0,481,1059,4009
0,438,1029,4030
0,410,996,4047
0,301,899,4065
0,279,888,4082
0,272,833,4102
0,274,803,4119
0,244,783,4138
0,239,772,4156
0,241,742,4175
0,280,686,4192
0,341,636,4212
0,381,636,4232
0,470,699,4250
0,529,749,4267
0,578,753,4285
0,656,784,4304
0,680,811,4323
0,679,835,4342
0,678,846,4360
0,675,855,4377
0,603,815,4395
0,608,807,4415
0,620,770,4435
0,656,779,4454
0,691,772,4475
0,734,732,4493
0,817,739,4513
0,866,759,4531
0,903,756,4549
0,939,709,4567
0,961,677,4584
0,952,677,4604
0,896,659,4623
0,807,683,4642
0,837,660,4660
0,830,675,4677
0,815,618,4697
0,796,550,4715
0,584,431,4734
0,405,333,4754
0,266,106,4773
0,113,-105,4791
0,138,-207,4810
0,87,-293,4828
0,69,-451,4847
0,52,-451,4866
0,142,-440,4886
0,234,-425,4904
0,335,-471,4923
0,399,-485,4942
0,401,-431,4960
0,400,-378,4979
0,362,-260,4998
0,350,-238,5016
0,324,-135,5034
0,380,-37,5051
0,617,230,5070
0,768,429,5088
0,866,590,5106
0,949,720,5123
0,989,781,5143
0,1016,841,5163
0,1026,806,5181
0,952,629,5199
0,888,463,5218
0,700,336,5235
0,671,245,5254
0,500,163,5272
0,402,178,5291
0,328,203,5308
0,253,183,5327
0,262,163,5345
0,215,136,5366
0,239,111,5383
0,292,94,5402
0,142,94,5419
0,109,26,5437
0,86,-8,5454
0,205,-107,5474
0,266,-188,5496
0,306,-177,5516
0,400,-167,5534
0,424,-183,5553
0,443,-195,5571
0,393,-226,5590
0,422,-253,5608
0,346,-246,5626
0,331,-265,5644
0,299,-300,5663
0,272,-327,5681
0,321,-360,5701
0,412,-384,5719
0,530,-436,5737
0,629,-477,5754
0,696,-461,5774
0,731,-483,5792
0,794,-455,5811
0,823,-436,5828
0,816,-356,5847
0,862,-279,5866
0,937,-263,5887
0,928,-194,5905
0,1051,74,5924
0,1173,321,5941
0,1192,461,5959
0,1194,587,5977
0,1190,757,5996
0,1157,886,6014
0,1201,954,6033
0,1242,993,6050
