trial,x,y,time
0,1349,442,0
0,1181,453,67
0,1072,433,134
0,991,440,200
0,880,494,267
0,678,464,333
0,727,416,401
0,747,400,467
0,716,355,524
0,700,365,581
0,790,388,653
0,739,382,716
0,845,417,783
0,837,417,853
0,976,469,919
0,994,497,977
0,1013,509,1034
0,1046,532,1091
0,1065,569,1148
0,984,555,1207
0,890,547,1266
0,928,594,1336
0,887,581,1403
0,913,594,1467
0,950,594,1534
0,951,574,1602
0,965,571,1669
0,971,547,1736
0,958,539,1801
0,982,539,1867
0,977,531,1934
0,982,535,2001
0,950,531,2066
0,860,547,2133
0,778,541,2201
0,608,494,2267
0,468,480,2334
0,396,467,2401
0,333,449,2466
0,324,441,2536
0,364,450,2601
0,333,447,2667
0,293,458,2734
0,360,468,2801
0,471,496,2870
0,428,492,2937
0,541,455,2992
0,693,480,3046
0,748,480,3101
0,812,507,3170
0,849,503,3228
0,877,479,3287
0,906,478,3353
0,901,483,3419
0,899,501,3477
0,957,526,3553
0,1015,553,3620
0,996,551,3686
0,1031,559,3744
0,989,522,3802
0,970,496,3870
0,928,470,3931
0,962,478,3990
0,996,497,4048
0,1019,471,4106
0,1011,476,4164
0,959,463,4222
0,947,447,4281
0,905,438,4358
0,892,445,4417
0,837,454,4484
0,783,430,4551
0,738,428,4618
0,674,397,4684
0,657,394,4751
0,641,415,4817
0,601,393,4883
0,646,380,4950
0,657,402,5017
0,686,425,5083
0,735,448,5153
0,756,461,5220
0,797,491,5287
0,810,497,5343
0,850,498,5397
0,798,511,5469
0,739,511,5532
0,644,490,5599
0,556,454,5667
0,460,451,5733
0,335,404,5800
0,243,394,5867
0,178,383,5932
0,157,378,6000
0,118,395,6066
0,124,436,6133
0,117,434,6200
0,147,432,6267
0,208,452,6333
0,253,440,6399
0,289,421,6467
0,316,415,6532
0,385,424,6600
0,423,415,6667
0,468,414,6733
0,527,405,6800
0,558,398,6867
0,574,376,6933
0,578,394,7000
0,587,384,7066
0,600,397,7133
0,597,386,7200
0,603,381,7267
0,642,405,7333
0,669,444,7400
0,699,466,7466
0,733,486,7532
0,745,481,7599
0,774,525,7666
0,799,540,7716
0,817,553,7783
0,847,544,7850
0,859,541,7917
0,881,551,7983
0,930,561,8050
0,961,555,8117
0,842,559,8183
0,761,511,8252
0,670,493,8307
0,595,482,8361
0,601,472,8415
0,593,487,8483
0,684,471,8549
0,712,447,8617
0,668,460,8671
0,804,449,8727
0,934,434,8783
0,963,416,8850
0,1001,431,8917
0,1091,417,8986
0,1157,413,9043
0,1139,422,9101
0,1184,404,9166
0,1276,414,9233
0,1227,468,9301
0,1217,485,9361
0,1169,481,9434
0,1154,498,9499
0,1152,501,9566
0,1096,506,9633
0,1126,470,9692
0,1101,484,9751
0,1065,489,9819
0,1020,494,9883
0,1019,506,9950
0,1078,515,10019
0,1060,544,10085
0,1105,547,10152
0,1134,492,10211
0,1219,513,10270
0,1242,516,10332
0,1236,501,10400
0,1253,519,10466
0,1213,529,10525
0,1165,512,10583
0,1160,500,10653
0,1111,523,10717
0,1159,517,10782
0,1157,539,10850
0,1141,536,10916
0,1169,541,10983
0,1158,556,11052
0,1123,558,11119
0,1090,524,11186
0,1071,559,11250
0,1100,579,11319
0,1042,555,11385
0,1051,495,11452
0,1101,470,11509
0,1108,487,11567
0,1134,479,11632
0,1151,449,11699
0,1166,431,11767
0,1128,410,11833
0,1096,384,11899
0,1118,414,11966
0,1129,412,12035
0,1040,412,12093
0,1038,431,12151
0,1062,448,12218
0,1070,449,12284
0,1043,451,12349
0,1088,446,12418
0,1055,434,12486
0,1040,442,12553
0,1036,453,12610
0,1115,468,12668
0,1168,494,12736
0,1211,468,12802
0,1223,475,12860
0,1214,483,12919
0,1170,508,12986
0,1177,504,13052
0,1175,517,13119
0,1166,515,13177
0,1238,519,13253
0,1307,517,13316
0,1381,499,13383
0,1424,559,13450
0,1476,561,13517
0,1479,573,13583
0,1441,567,13649
0,1439,555,13716
0,1406,553,13786
0,1419,563,13851
0,1348,518,13918
0,1163,605,13975
0,1143,558,14031
0,1146,553,14089
0,1310,475,14150
0,1314,472,14217
0,1307,496,14283
0,1285,464,14349
0,1302,490,14417
0,1254,457,14487
0,1236,479,14550
0,1243,503,14617
0,1201,509,14684
0,1151,496,14750
0,994,459,14816
0,952,434,14886
0,935,400,14953
0,960,383,15010
0,972,390,15066
0,951,411,15134
0,862,468,15200
0,811,489,15267
0,820,502,15335
0,788,544,15391
0,840,556,15447
0,820,571,15505
0,837,578,15566
0,885,579,15634
0,849,576,15700
0,810,552,15767
0,775,558,15836
0,787,593,15895
0,809,629,15969
0,811,660,16034
0,811,678,16101
0,794,707,16167
0,784,722,16234
0,781,721,16300
0,816,717,16369
0,858,694,16428
0,892,704,16486
0,919,700,16553
0,936,695,16611
0,1011,668,16668
0,1003,677,16725
0,1028,684,16784
0,1071,688,16853
0,993,590,16912
0,938,553,16970
0,973,524,17030
0,1005,504,17103
0,1029,470,17163
0,1046,456,17222
0,1021,450,17282
0,1035,508,17341
0,1060,539,17417
0,1059,529,17484
0,1088,539,17550
0,1061,535,17620
0,1007,524,17686
0,1006,510,17744
0,1073,528,17803
0,1054,489,17870
0,1016,499,17936
0,1023,536,17999
0,1008,527,18067
0,1000,568,18134
0,998,549,18202
0,1003,518,18269
0,1024,555,18330
0,1025,495,18389
0,1046,472,18449
0,1022,503,18519
0,943,528,18586
0,935,591,18647
0,929,589,18707
0,928,584,18767
0,948,617,18836
0,958,688,18897
0,978,690,18970
0,932,603,19031
0,919,620,19091
0,910,569,19151
0,878,574,19219
0,833,577,19286
0,872,613,19352
0,905,611,19419
0,898,647,19486
0,901,646,19546
0,936,653,19605
0,966,667,19665
0,966,650,19724
0,922,620,19784
0,864,603,19850
0,878,619,19917
0,887,621,19984
0,910,611,20049
0,929,635,20119
0,931,622,20178
0,947,605,20238
0,999,572,20300
0,989,593,20367
0,950,581,20435
0,907,579,20495
0,852,587,20555
0,827,559,20614
0,825,538,20683
0,805,538,20749
0,794,518,20817
0,777,558,20885
0,778,550,20953
0,778,537,21014
0,735,527,21087
0,805,551,21152
0,857,610,21216
0,863,632,21284
0,912,645,21350
0,957,652,21417
0,942,644,21486
0,969,642,21546
0,916,671,21605
0,912,643,21664
0,848,623,21723
0,816,636,21783
0,807,613,21853
0,802,583,21919
0,768,602,21986
0,760,501,22045
0,795,473,22104
0,833,465,22162
0,794,504,22222
0,734,523,22281
0,770,516,22340
0,758,536,22399
0,707,568,22467
0,659,527,22534
0,682,513,22600
0,790,497,22667
0,811,531,22735
0,809,542,22806
0,801,557,22865
0,823,573,22936
0,759,604,23003
0,701,637,23070
0,701,633,23136
0,715,646,23196
0,692,672,23256
0,686,700,23316
0,650,686,23375
0,629,672,23435
0,642,676,23500
0,626,699,23567
0,620,703,23634
0,581,713,23702
0,574,687,23762
0,562,663,23822
0,579,640,23882
0,575,601,23950
0,583,575,24016
0,644,587,24084
0,678,565,24154
0,629,537,24215
0,666,478,24284
0,710,488,24353
0,736,506,24419
0,767,567,24479
0,816,574,24539
0,805,583,24598
0,781,538,24657
0,783,563,24718
0,786,548,24783
0,819,561,24853
0,761,544,24919
0,762,528,24986
0,774,531,25045
0,749,525,25104
0,752,549,25163
0,749,554,25233
0,793,530,25303
0,802,555,25362
0,806,526,25421
0,833,520,25480
0,851,514,25538
0,804,530,25601
0,784,525,25667
0,812,516,25734
0,850,512,25802
0,926,496,25860
0,970,504,25934
0,1006,509,26000
0,1068,499,26070
0,1047,486,26130
0,1050,492,26188
0,1027,518,26248
0,1019,524,26317
0,1020,546,26384
0,1030,564,26443
0,1108,557,26502
0,1099,593,26569
0,1093,605,26634
0,1104,571,26703
0,1133,598,26767
0,1136,589,26833
0,967,586,26900
0,857,596,26967
0,744,569,27033
0,658,556,27101
0,591,553,27167
0,598,550,27234
0,570,534,27301
0,576,534,27367
0,508,477,27434
0,481,485,27501
0,466,481,27566
0,476,499,27634
0,515,509,27701
0,502,526,27766
0,541,565,27834
0,562,588,27901
0,605,591,27967
0,665,546,28034
0,663,487,28101
0,753,444,28167
0,737,446,28233
0,782,433,28301
0,794,429,28367
0,774,473,28434
0,744,489,28501
0,757,508,28567
0,843,486,28634
0,993,415,28701
0,1182,335,28767
0,1266,299,28834
0,1302,245,28901
0,1410,200,28967
0,1444,163,29034
0,1269,213,29101
0,1163,265,29151
0,996,314,29200
0,877,374,29267
0,763,420,29333
0,646,477,29401
0,589,457,29467
0,573,477,29534
0,525,444,29601
0,472,442,29667
0,461,455,29733
0,434,444,29801
0,436,446,29867
0,463,482,29933
0,471,457,29984
0,482,471,30051
0,487,490,30118
0,466,514,30184
0,506,540,30250
0,513,605,30317
0,550,605,30384
0,593,641,30451
0,714,623,30520
0,822,654,30586
0,882,632,30653
0,903,561,30709
0,926,563,30764
0,956,538,30821
0,970,490,30886
0,1009,512,30953
0,1051,498,31011
0,1036,539,31068
0,1002,542,31136
0,921,547,31198
0,1015,550,31259
0,1136,524,31320
0,1160,519,31386
0,1220,518,31453
0,1141,591,31513
0,1117,608,31572
0,1153,617,31632
0,1208,594,31690
0,1256,561,31750
0,1266,550,31819
0,1231,556,31886
0,1212,521,31953
0,1175,500,32017
0,1115,471,32083
0,1087,439,32151
0,1061,393,32217
0,1052,419,32286
0,993,474,32346
0,977,542,32406
0,963,557,32465
0,973,633,32525
0,873,611,32585
0,830,632,32642
0,919,662,32699
0,910,667,32767
0,963,650,32834
0,977,639,32892
0,946,662,32953
0,893,694,33019
0,867,746,33086
0,946,745,33146
0,1005,774,33207
0,1015,747,33267
0,1027,748,33334
0,1028,742,33401
0,1037,711,33467
0,1009,682,33537
0,1016,693,33603
0,949,651,33664
0,947,645,33724
0,921,647,33783
0,858,646,33850
0,735,562,33918
0,620,571,33983
0,714,542,34051
0,785,559,34117
0,806,579,34184
0,817,508,34251
0,854,466,34318
0,833,413,34384
0,797,367,34451
0,768,349,34517
0,729,339,34584
0,800,313,34651
0,846,296,34717
0,893,308,34786
0,861,363,34853
0,819,462,34917
0,822,525,34984
0,789,564,35051
0,753,616,35117
0,716,659,35183
0,691,669,35250
0,644,644,35320
0,704,663,35376
0,666,683,35431
0,691,697,35487
0,749,690,35546
0,838,692,35603
0,904,685,35668
0,901,699,35737
0,899,696,35797
0,945,677,35855
0,961,680,35913
0,950,663,35972
0,962,651,36030
0,965,636,36088
0,960,652,36150
0,913,652,36220
0,879,625,36284
0,903,533,36351
0,924,411,36417
0,931,302,36484
0,937,267,36551
0,921,269,36617
0,877,292,36687
0,839,363,36753
0,886,429,36820
0,979,483,36884
0,992,529,36951
0,988,581,37018
0,952,594,37084
0,921,596,37151
0,904,644,37209
0,917,653,37270
0,906,638,37329
0,892,639,37401
0,879,632,37468
0,838,619,37534
0,785,606,37601
0,751,603,37668
0,749,606,37736
0,748,632,37794
0,811,626,37851
0,854,616,37918
0,854,595,37984
0,854,589,38051
0,873,560,38118
0,874,524,38187
0,870,529,38245
0,893,504,38303
0,849,477,38362
0,837,469,38419
0,857,475,38486
0,842,479,38544
0,875,481,38603
0,888,469,38668
1,1246,260,0
1,1127,369,66
1,1087,395,133
1,955,434,199
1,869,461,266
1,784,449,333
1,720,444,399
1,677,421,466
1,631,398,533
1,695,418,599
1,758,429,666
1,762,398,733
1,811,376,799
1,748,392,866
1,722,390,933
1,685,412,999
1,652,408,1066
1,622,467,1133
