trial,x,y,time
0,1300,479,0
0,1303,474,83
0,1305,486,167
0,1315,484,250
0,1196,514,333
0,1087,530,400
0,884,616,467
0,694,688,534
0,554,699,600
0,430,753,667
0,335,771,734
0,260,798,800
0,191,803,867
0,156,810,933
0,126,857,1000
0,215,886,1067
0,228,879,1134
0,314,870,1200
0,392,833,1267
0,361,878,1333
0,305,881,1400
0,297,909,1467
0,261,896,1533
0,248,868,1600
0,253,887,1667
0,260,862,1734
0,262,813,1800
0,263,758,1867
0,279,797,1933
0,286,759,2000
0,299,756,2067
0,311,732,2134
0,330,709,2200
0,350,695,2267
0,364,690,2333
0,394,682,2400
0,428,655,2467
0,451,639,2533
0,464,639,2600
0,477,602,2667
0,491,578,2733
0,516,568,2800
0,542,563,2866
0,567,560,2933
0,574,534,3000
0,585,512,3067
0,595,493,3133
0,601,480,3200
0,609,478,3267
0,615,470,3333
0,617,464,3400
0,624,472,3467
0,619,471,3534
0,592,527,3600
0,549,588,3667
0,551,633,3733
0,509,666,3800
0,518,718,3867
0,496,757,3933
0,473,790,4000
0,453,807,4067
0,439,825,4132
0,427,815,4200
0,420,821,4267
0,415,812,4333
0,419,803,4399
0,433,776,4466
0,453,705,4533
0,521,691,4600
0,553,637,4667
0,602,645,4733
0,653,649,4800
0,705,640,4867
0,745,642,4933
0,785,627,5000
0,785,587,5067
0,815,578,5133
0,741,621,5200
0,687,663,5267
0,645,700,5333
0,588,753,5400
0,544,790,5467
0,497,816,5533
0,462,838,5600
0,438,847,5667
0,418,862,5733
0,395,869,5800
0,374,864,5866
0,368,845,5933
0,376,838,6000
0,382,820,6067
0,403,801,6133
0,430,781,6200
0,473,758,6266
0,514,731,6333
0,563,713,6400
0,593,699,6467
0,617,694,6533
0,634,685,6600
0,651,678,6667
0,672,673,6733
0,685,660,6800
0,696,648,6866
0,702,637,6932
0,722,643,6999
0,750,646,7066
0,778,649,7132
0,800,646,7198
0,826,624,7266
0,911,625,7332
0,917,615,7399
0,986,616,7466
0,939,564,7532
0,900,469,7602
0,830,405,7666
0,793,353,7732
0,768,301,7799
0,736,243,7866
0,737,219,7932
0,739,218,7999
0,754,216,8066
0,793,240,8132
0,831,258,8199
0,848,311,8266
0,854,353,8332
0,891,415,8399
0,907,439,8465
0,909,454,8532
0,915,483,8599
0,918,497,8666
0,917,509,8732
0,1024,577,8799
0,1119,610,8865
0,1200,656,8932
0,1267,637,9001
0,1333,627,9068
0,1392,595,9134
0,1422,603,9201
0,1441,605,9268
0,1462,599,9351
0,1460,608,9434
0,1458,624,9515
0,1449,621,9599
0,1464,645,9682
0,1429,648,9766
0,1397,631,9849
0,1355,577,9932
0,1357,564,10016
0,1229,500,10099
0,1105,500,10165
0,986,490,10231
0,949,465,10299
0,919,459,10366
0,903,455,10432
0,881,457,10499
0,866,459,10566
0,854,469,10632
0,850,468,10699
0,857,468,10766
0,857,465,10831
0,861,483,10899
0,875,488,10966
0,880,508,11032
0,887,496,11099
0,877,490,11166
0,872,487,11232
0,883,474,11299
0,886,457,11365
0,825,454,11449
0,820,465,11516
0,764,512,11582
0,719,565,11649
0,701,647,11800
0,687,696,11982
0,671,739,12049
0,699,758,12116
0,699,758,12182
0,704,761,12249
0,702,755,12315
0,696,747,12382
0,712,735,12449
0,721,729,12516
0,738,704,12582
0,746,677,12649
0,866,654,12715
0,966,631,12782
0,1038,623,12849
0,1070,637,12915
0,1077,649,12982
0,1089,654,13049
0,1049,667,13115
0,937,691,13182
0,857,690,13250
0,815,682,13315
0,793,675,13382
0,776,674,13449
0,768,674,13515
0,751,656,13582
0,739,639,13649
0,748,653,13715
0,767,669,13799
0,900,630,13867
0,1032,605,13934
0,1118,598,14001
0,1173,582,14067
0,1182,546,14134
0,1209,554,14217
0,1205,541,14301
0,1150,521,14383
0,1065,515,14482
0,991,513,14567
0,1002,495,14652
0,990,493,14735
0,883,532,14818
0,819,518,14920
0,777,507,15033
0,790,606,15150
0,701,615,15271
0,609,599,15351
0,568,568,15434
0,495,548,15518
0,395,546,15601
0,328,542,15682
1,917,386,0
1,933,385,62
1,937,371,133
1,952,363,200
1,949,394,266
1,941,382,333
1,910,381,400
1,849,419,466
1,783,419,533
1,729,425,600
1,688,441,666
1,710,402,750
1,735,380,817
1,765,346,883
1,720,348,950
1,725,378,1016
1,642,390,1083
1,576,409,1150
1,560,445,1216
1,579,554,1283
1,587,609,1350
1,562,631,1416
1,514,642,1483
1,554,662,1550
1,517,654,1616
1,534,626,1683
1,611,613,1750
1,659,698,1816
1,583,693,1883
1,522,679,1967
1,471,686,2033
1,497,671,2100
1,586,710,2166
1,648,653,2233
1,705,665,2300
1,722,653,2366
1,671,766,2433
1,641,829,2500
1,548,872,2566
1,496,892,2633
1,468,951,2700
1,416,916,2766
1,486,865,2833
1,598,935,2900
1,640,851,2966
1,817,837,3033
1,941,813,3100
1,941,780,3166
1,935,763,3233
1,897,766,3300
1,799,661,3366
1,805,594,3433
1,783,515,3500
1,721,501,3566
1,699,421,3633
1,653,339,3700
1,652,333,3766
1,685,343,3833
1,704,382,3900
1,706,413,3966
1,720,422,4033
1,735,476,4100
1,731,498,4166
1,707,445,4233
1,666,403,4300
1,650,384,4366
1,560,371,4433
1,473,387,4500
1,400,393,4566
1,383,416,4632
1,410,448,4700
1,427,447,4766
1,420,452,4833
1,494,467,4899
1,500,455,4966
1,516,444,5033
1,550,467,5100
2,717,340,0
2,791,324,66
2,781,303,133
2,786,254,199
2,789,240,266
2,790,168,333
2,680,162,399
2,635,189,466
2,657,227,533
2,657,173,599
2,694,199,666
2,655,244,733
2,564,246,799
2,494,231,866
2,418,248,933
2,442,281,999
2,433,322,1066
2,469,357,1133
2,483,396,1199
2,492,424,1266
2,489,444,1332
2,510,472,1399
2,534,505,1466
2,512,482,1533
2,514,458,1599
2,509,412,1666
2,478,430,1732
2,468,445,1799
2,458,461,1866
2,443,483,1932
2,444,493,1999
2,404,489,2066
2,417,485,2132
2,405,456,2199
2,412,443,2266
2,421,420,2333
2,431,436,2398
2,416,410,2466
2,421,427,2533
2,369,454,2599
2,311,480,2666
2,297,468,2733
2,329,479,2799
2,344,501,2866
2,372,496,2932
2,376,492,2998
2,404,496,3066
2,476,541,3132
2,649,513,3199
2,784,498,3266
2,859,475,3332
2,821,489,3399
2,897,550,3466
2,877,553,3533
2,818,565,3599
2,699,545,3666
2,604,583,3732
2,562,548,3799
2,535,518,3866
2,609,468,3932
2,695,449,3999
2,710,465,4066
2,743,472,4133
2,686,453,4201
2,643,437,4268
2,555,427,4352
2,573,421,4435
2,466,428,4503
2,472,389,4585
2,411,426,4668
2,423,445,4751
2,552,463,4832
2,569,468,4916
3,897,399,0
3,863,388,62
3,888,366,134
3,827,356,200
3,817,349,267
3,825,337,334
3,808,350,400
3,801,355,467
3,812,379,534
3,866,399,600
3,845,391,667
3,866,389,734
3,906,396,800
3,915,363,867
3,963,364,934
3,991,397,1000
3,1010,402,1067
3,1020,406,1150
3,1009,418,1217
3,1026,417,1284
3,1020,426,1350
3,977,440,1417
3,922,445,1483
3,918,423,1550
3,941,439,1634
3,904,519,1700
3,930,537,1767
3,954,558,1834
3,940,520,1900
3,946,471,1967
3,933,440,2033
3,915,397,2100
3,889,384,2167
3,877,371,2234
3,847,351,2300
3,849,328,2367
3,870,316,2433
3,838,305,2500
3,818,320,2567
3,809,323,2633
3,801,330,2700
3,808,324,2767
3,783,329,2834
3,818,348,2900
3,784,382,2967
3,769,401,3031
3,805,405,3102
3,861,398,3186
3,966,430,3269
3,1031,464,3350
3,1012,435,3434
4,866,444,0
4,844,436,63
4,827,434,133
4,840,426,200
4,821,417,266
4,836,410,333
4,803,402,400
4,846,393,466
4,871,371,533
4,898,360,600
4,927,359,667
4,907,377,733
4,878,429,800
4,962,446,867
4,1034,470,933
4,874,523,1000
4,883,539,1068
4,801,551,1136
4,783,515,1219
4,701,495,1287
4,666,492,1367
4,673,468,1450
4,612,437,1533
4,564,422,1616
5,801,383,0
5,742,407,67
5,741,371,134
5,704,392,200
5,716,366,267
5,696,371,334
5,718,391,400
5,666,388,467
5,686,367,534
5,651,368,600
5,575,405,667
5,502,421,734
5,463,421,800
5,468,436,867
5,442,453,934
5,552,446,1000
5,672,449,1067
5,607,455,1133
5,651,456,1201
5,508,478,1269
5,483,508,1350
5,516,533,1417
5,535,548,1484
5,497,509,1550
5,384,516,1617
5,336,471,1683
5,395,404,1750
5,448,444,1817
5,490,448,1883
5,511,445,1967
6,708,426,0
6,706,432,65
6,757,419,135
6,690,437,201
6,637,425,268
6,664,406,335
6,604,405,401
6,595,399,468
6,512,418,534
6,483,420,601
6,464,417,668
6,448,427,735
6,492,408,801
6,528,409,868
6,563,405,935
6,564,410,1004
6,372,477,1087
6,389,441,1154
6,406,433,1237
6,450,453,1320
6,525,510,1392
6,544,532,1468
6,608,515,1551
6,553,517,1635
6,519,544,1718
6,397,533,1801
6,443,548,1885
6,362,543,1968
6,379,507,2051
6,495,456,2134
6,573,441,2218
6,666,421,2301
6,703,398,2368
6,730,402,2435
6,762,434,2501
