Subject,Trial,Condition,MsgType,TrgtPos,Time,AOI
iza_test3_11february,0,unambiguous,shape,0,6860,dist
iza_test3_11february,0,unambiguous,shape,0,6886,dist
iza_test3_11february,0,unambiguous,shape,0,6963,dist
iza_test3_11february,0,unambiguous,shape,0,6983,dist
iza_test3_11february,0,unambiguous,shape,0,7062,dist
iza_test3_11february,0,unambiguous,shape,0,7079,dist
iza_test3_11february,0,unambiguous,shape,0,7159,comp
iza_test3_11february,0,unambiguous,shape,0,7177,dist
iza_test3_11february,0,unambiguous,shape,0,7254,comp
iza_test3_11february,0,unambiguous,shape,0,7283,comp
iza_test3_11february,0,unambiguous,shape,0,7348,trgt
iza_test3_11february,0,unambiguous,shape,0,7377,comp
iza_test3_11february,0,unambiguous,shape,0,7439,trgt
iza_test3_11february,0,unambiguous,shape,0,7474,comp
iza_test3_11february,0,unambiguous,shape,0,7529,trgt
iza_test3_11february,0,unambiguous,shape,0,7580,comp
iza_test3_11february,0,unambiguous,shape,0,7587,trgt
iza_test3_11february,0,unambiguous,shape,0,7653,trgt
iza_test3_11february,0,unambiguous,shape,0,7684,sent_msg
iza_test3_11february,0,unambiguous,shape,0,7701,trgt
iza_test3_11february,0,unambiguous,shape,0,7766,trgt
iza_test3_11february,0,unambiguous,shape,0,7771,sent_msg
iza_test3_11february,0,unambiguous,shape,0,7826,trgt
iza_test3_11february,0,unambiguous,shape,0,7857,sent_msg
iza_test3_11february,0,unambiguous,shape,0,7881,trgt
iza_test3_11february,0,unambiguous,shape,0,7935,trgt
iza_test3_11february,0,unambiguous,shape,0,7948,sent_msg
iza_test3_11february,0,unambiguous,shape,0,7989,trgt
iza_test3_11february,0,unambiguous,shape,0,8033,sent_msg
iza_test3_11february,0,unambiguous,shape,0,8038,trgt
iza_test3_11february,0,unambiguous,shape,0,8098,trgt
iza_test3_11february,0,unambiguous,shape,0,8124,sent_msg
iza_test3_11february,0,unambiguous,shape,0,8150,trgt
iza_test3_11february,0,unambiguous,shape,0,8208,trgt
iza_test3_11february,0,unambiguous,shape,0,8210,sent_msg
iza_test3_11february,0,unambiguous,shape,0,8265,trgt
iza_test3_11february,0,unambiguous,shape,0,8293,non_aoi
iza_test3_11february,0,unambiguous,shape,0,8321,non_aoi
iza_test3_11february,0,unambiguous,shape,0,8375,non_aoi
iza_test3_11february,0,unambiguous,shape,0,8382,dist
iza_test3_11february,0,unambiguous,shape,0,8428,sent_msg
iza_test3_11february,0,unambiguous,shape,0,8468,dist
iza_test3_11february,0,unambiguous,shape,0,8479,comp
iza_test3_11february,0,unambiguous,shape,0,8557,comp
iza_test3_11february,0,unambiguous,shape,0,8572,comp
iza_test3_11february,0,unambiguous,shape,0,8645,comp
iza_test3_11february,0,unambiguous,shape,0,8665,dist
iza_test3_11february,0,unambiguous,shape,0,8734,comp
iza_test3_11february,0,unambiguous,shape,0,8757,dist
iza_test3_11february,0,unambiguous,shape,0,8823,comp
iza_test3_11february,0,unambiguous,shape,0,8845,dist
iza_test3_11february,0,unambiguous,shape,0,8915,trgt
iza_test3_11february,0,unambiguous,shape,0,8940,dist
iza_test3_11february,0,unambiguous,shape,0,9003,comp
iza_test3_11february,0,unambiguous,shape,0,9027,dist
iza_test3_11february,0,unambiguous,shape,0,9090,comp
iza_test3_11february,0,unambiguous,shape,0,9115,dist
iza_test3_11february,0,unambiguous,shape,0,9183,comp
iza_test3_11february,0,unambiguous,shape,0,9200,dist
iza_test3_11february,0,unambiguous,shape,0,9271,comp
iza_test3_11february,0,unambiguous,shape,0,9292,dist
iza_test3_11february,0,unambiguous,shape,0,9363,comp
iza_test3_11february,0,unambiguous,shape,0,9381,dist
iza_test3_11february,0,unambiguous,shape,0,9472,non_aoi
iza_test3_11february,0,unambiguous,shape,0,9502,comp
iza_test3_11february,0,unambiguous,shape,0,9562,dist
iza_test3_11february,0,unambiguous,shape,0,9597,dist
iza_test3_11february,0,unambiguous,shape,0,9700,dist
iza_test3_11february,0,unambiguous,shape,0,9802,dist
iza_test3_11february,0,unambiguous,shape,0,9901,dist
iza_test3_11february,0,unambiguous,shape,0,10003,comp
iza_test3_11february,0,unambiguous,shape,0,10106,comp
iza_test3_11february,0,unambiguous,shape,0,10208,comp
iza_test3_11february,0,unambiguous,shape,0,10312,trgt
iza_test3_11february,0,unambiguous,shape,0,10417,comp
iza_test3_11february,0,unambiguous,shape,0,10518,comp
iza_test3_11february,0,unambiguous,shape,0,10616,available_msgs
iza_test3_11february,0,unambiguous,shape,0,10716,available_msgs
iza_test3_11february,0,unambiguous,shape,0,10807,comp
iza_test3_11february,0,unambiguous,shape,0,10901,available_msgs
iza_test3_11february,0,unambiguous,shape,0,11001,comp
iza_test3_11february,0,unambiguous,shape,0,11094,available_msgs
iza_test3_11february,0,unambiguous,shape,0,11184,available_msgs
